id,comment,label,comment_w_tone,combine_comment
train_001540,chất lượng sản sản phẩm phù hợp với giá tiền phí vận chuyển hơi đắt,0,chat luong san san pham phu hop voi gia tien phi van chuyen hoi dat,chất lượng sản sản phẩm phù hợp với giá tiền phí vận chuyển hơi đắt chat luong san san pham phu hop voi gia tien phi van chuyen hoi dat
train_003266,"chất lượng sản phẩm tuyệt vời, sẽ ủng hộ shop",0,"chat luong san pham tuyet voi, se ung ho shop","chất lượng sản phẩm tuyệt vời, sẽ ủng hộ shop chat luong san pham tuyet voi, se ung ho shop"
train_014096,sản phẩm ok hộp có hơi dơ tí,0,san pham ok hop co hoi do ti,sản phẩm ok hộp có hơi dơ tí san pham ok hop co hoi do ti
train_003843,màu trà rất đẹpvị hơi chua dễ uống,0,mau tra rat depvi hoi chua de uong,màu trà rất đẹpvị hơi chua dễ uống mau tra rat depvi hoi chua de uong
train_010560,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền bỏ ra 👍,0,chat luong san pham tuyet voi dong goi san pham rat dep va chac chan rat dang tien bo ra 👍,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền bỏ ra 👍 chat luong san pham tuyet voi dong goi san pham rat dep va chac chan rat dang tien bo ra 👍
train_002320,dao hàng thiếu chưa bổ sung cho dù đã chát với shop nhiều lần,0,dao hang thieu chua bo sung cho du da chat voi shop nhieu lan,dao hàng thiếu chưa bổ sung cho dù đã chát với shop nhiều lần dao hang thieu chua bo sung cho du da chat voi shop nhieu lan
train_012020,balô to hợp vs những bé từ 5t trở lên,0,balo to hop vs nhung be tu 5t tro len,balô to hợp vs những bé từ 5t trở lên balo to hop vs nhung be tu 5t tro len
train_007767,rất ngon giao hàng nhanh đóng gói kĩ bõ công thèm,0,rat ngon giao hang nhanh dong goi ki bo cong them,rất ngon giao hàng nhanh đóng gói kĩ bõ công thèm rat ngon giao hang nhanh dong goi ki bo cong them
train_009519,giá rẻ nhưng chất lượng ok đóng gói sản phẩm rất đẹp và chắc chắn,0,gia re nhung chat luong ok dong goi san pham rat dep va chac chan,giá rẻ nhưng chất lượng ok đóng gói sản phẩm rất đẹp và chắc chắn gia re nhung chat luong ok dong goi san pham rat dep va chac chan
train_014337,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền,0,chat luong san pham tuyet voi dong goi san pham rat dep va chac chan rat dang tien,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền chat luong san pham tuyet voi dong goi san pham rat dep va chac chan rat dang tien
train_009258,mua có cái quạt mà cũng bán hàng lỗi cho khách coi như tháng 7 cúng cô hồn vậy mọi người mua nhớ kiểm tra kỹ trước khi nhận,1,mua co cai quat ma cung ban hang loi cho khach coi nhu thang 7 cung co hon vay moi nguoi mua nho kiem tra ky truoc khi nhan,mua có cái quạt mà cũng bán hàng lỗi cho khách coi như tháng 7 cúng cô hồn vậy mọi người mua nhớ kiểm tra kỹ trước khi nhận mua co cai quat ma cung ban hang loi cho khach coi nhu thang 7 cung co hon vay moi nguoi mua nho kiem tra ky truoc khi nhan
train_006102,mẫu nhỏ hơn so với chi tiết quảng cáo nhưng chất liệu ok,1,mau nho hon so voi chi tiet quang cao nhung chat lieu ok,mẫu nhỏ hơn so với chi tiết quảng cáo nhưng chất liệu ok mau nho hon so voi chi tiet quang cao nhung chat lieu ok
train_015212,ngon lắm cả nhà ạ 😍,0,ngon lam ca nha a 😍,ngon lắm cả nhà ạ 😍 ngon lam ca nha a 😍
train_014174,shop phục vụ khá tốt shop phục vụ rất tốt,0,shop phuc vu kha tot shop phuc vu rat tot,shop phục vụ khá tốt shop phục vụ rất tốt shop phuc vu kha tot shop phuc vu rat tot
train_014517,đặt 2 chỉ giao 1 thất vọng,1,dat 2 chi giao 1 that vong,đặt 2 chỉ giao 1 thất vọng dat 2 chi giao 1 that vong
train_011419,ngooooonnnn kkk chất lượng sản phẩm tuyệt vời,0,ngooooonnnn kkk chat luong san pham tuyet voi,ngooooonnnn kkk chất lượng sản phẩm tuyệt vời ngooooonnnn kkk chat luong san pham tuyet voi
train_004913,"ok, chất lượng tốt",0,"ok, chat luong tot","ok, chất lượng tốt ok, chat luong tot"
train_006679,shop phục vụ rất tốt đồng hồ quá xinh lại săn đc giá deal chúc shop mua may bán đắt nhé,0,shop phuc vu rat tot dong ho qua xinh lai san dc gia deal chuc shop mua may ban dat nhe,shop phục vụ rất tốt đồng hồ quá xinh lại săn đc giá deal chúc shop mua may bán đắt nhé shop phuc vu rat tot dong ho qua xinh lai san dc gia deal chuc shop mua may ban dat nhe
train_011647,"tên john chen này đã giết chết thần tượng blackberry của giới công nghệ trên tay tôi là blackberry q10, càng dùng càng thích",0,"ten john chen nay da giet chet than tuong blackberry cua gioi cong nghe tren tay toi la blackberry q10, cang dung cang thich","tên john chen này đã giết chết thần tượng blackberry của giới công nghệ trên tay tôi là blackberry q10, càng dùng càng thích ten john chen nay da giet chet than tuong blackberry cua gioi cong nghe tren tay toi la blackberry q10, cang dung cang thich"
train_011045,chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt shop phục vụ rất tốt shop rất chu đáo,0,chat luong san pham tuyet voi chat luong san pham tuyet voi shop phuc vu rat tot shop phuc vu rat tot shop rat chu dao,chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt shop phục vụ rất tốt shop rất chu đáo chat luong san pham tuyet voi chat luong san pham tuyet voi shop phuc vu rat tot shop phuc vu rat tot shop rat chu dao
train_006962,giày xinh lắm 🤣🤣 chủ shop tư vấn nhiệt tình có cơ hội sẽ ủng hộ tiếp 💓,0,giay xinh lam 🤣🤣 chu shop tu van nhiet tinh co co hoi se ung ho tiep 💓,giày xinh lắm 🤣🤣 chủ shop tư vấn nhiệt tình có cơ hội sẽ ủng hộ tiếp 💓 giay xinh lam 🤣🤣 chu shop tu van nhiet tinh co co hoi se ung ho tiep 💓
train_002581,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,0,chat luong san pham tuyet voi dong goi san pham rat dep va chac chan shop phuc vu rat tot rat dang tien thoi gian giao hang rat nhanh,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh chat luong san pham tuyet voi dong goi san pham rat dep va chac chan shop phuc vu rat tot rat dang tien thoi gian giao hang rat nhanh
train_010698,giao hàng nhanh chất lượng sản phẩm tốt lần sau sẽ mua tiếp❤️❤️,0,giao hang nhanh chat luong san pham tot lan sau se mua tiep❤️❤️,giao hàng nhanh chất lượng sản phẩm tốt lần sau sẽ mua tiếp❤️❤️ giao hang nhanh chat luong san pham tot lan sau se mua tiep❤️❤️
train_000613,lần đầu tiên phải đánh giá 1 sao vì sp cũng như shopee đt ngoại quan hình thức ổn nhưng mở máy lên mới biết hoá ra k tải đc cái gì về k có ch play k thể tải đc bất kỳ cái gì từ zing như zalo zing mp3 k xem đc youtube dùng wifi cứ bị treo web y c hoàn tiền cũng k cho nói chung k nen mua,1,lan dau tien phai danh gia 1 sao vi sp cung nhu shopee dt ngoai quan hinh thuc on nhung mo may len moi biet hoa ra k tai dc cai gi ve k co ch play k the tai dc bat ky cai gi tu zing nhu zalo zing mp3 k xem dc youtube dung wifi cu bi treo web y c hoan tien cung k cho noi chung k nen mua,lần đầu tiên phải đánh giá 1 sao vì sp cũng như shopee đt ngoại quan hình thức ổn nhưng mở máy lên mới biết hoá ra k tải đc cái gì về k có ch play k thể tải đc bất kỳ cái gì từ zing như zalo zing mp3 k xem đc youtube dùng wifi cứ bị treo web y c hoàn tiền cũng k cho nói chung k nen mua lan dau tien phai danh gia 1 sao vi sp cung nhu shopee dt ngoai quan hinh thuc on nhung mo may len moi biet hoa ra k tai dc cai gi ve k co ch play k the tai dc bat ky cai gi tu zing nhu zalo zing mp3 k xem dc youtube dung wifi cu bi treo web y c hoan tien cung k cho noi chung k nen mua
train_008710,chất lượng sản phẩm rất kémsố luong khăn giay chi co 49-50c 1bich 3 xấp chỉ co 150cái khăn thôi vay ma để bao bì 300 shop phục vụ rất kém,1,chat luong san pham rat kemso luong khan giay chi co 49-50c 1bich 3 xap chi co 150cai khan thoi vay ma de bao bi 300 shop phuc vu rat kem,chất lượng sản phẩm rất kémsố luong khăn giay chi co 49-50c 1bich 3 xấp chỉ co 150cái khăn thôi vay ma để bao bì 300 shop phục vụ rất kém chat luong san pham rat kemso luong khan giay chi co 49-50c 1bich 3 xap chi co 150cai khan thoi vay ma de bao bi 300 shop phuc vu rat kem
train_005330,chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt rất đáng tiền đóng gói bị mấy cái khác đè bẹp may mà sản phẩm ko sao 😅😅,0,chat luong san pham tuyet voi shop phuc vu rat tot rat dang tien dong goi bi may cai khac de bep may ma san pham ko sao 😅😅,chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt rất đáng tiền đóng gói bị mấy cái khác đè bẹp may mà sản phẩm ko sao 😅😅 chat luong san pham tuyet voi shop phuc vu rat tot rat dang tien dong goi bi may cai khac de bep may ma san pham ko sao 😅😅
train_001752,nuoc son ko an voi mong tay,1,nuoc son ko an voi mong tay,nuoc son ko an voi mong tay nuoc son ko an voi mong tay
train_000327,giao hàng nhanh đóng gói cẩn thận shop nhiệt tình với khách,0,giao hang nhanh dong goi can than shop nhiet tinh voi khach,giao hàng nhanh đóng gói cẩn thận shop nhiệt tình với khách giao hang nhanh dong goi can than shop nhiet tinh voi khach
train_011208,"mặt sau giống ss nút home cũng giống ss , htc hết ý tưởng rồigiá cao hơn con s7 kiểu này ế lại xả hàng thôi",1,"mat sau giong ss nut home cung giong ss , htc het y tuong roigia cao hon con s7 kieu nay e lai xa hang thoi","mặt sau giống ss nút home cũng giống ss , htc hết ý tưởng rồigiá cao hơn con s7 kiểu này ế lại xả hàng thôi mat sau giong ss nut home cung giong ss , htc het y tuong roigia cao hon con s7 kieu nay e lai xa hang thoi"
train_009959,ko có hộp,1,ko co hop,ko có hộp ko co hop
train_005789,ủa sao đơn hang co 498k ma shiper thu 598 k vay e nhờ mẹ e lay dùmhn mới nhớ vào coi lại giá thấy có 498k,0,ua sao don hang co 498k ma shiper thu 598 k vay e nho me e lay dumhn moi nho vao coi lai gia thay co 498k,ủa sao đơn hang co 498k ma shiper thu 598 k vay e nhờ mẹ e lay dùmhn mới nhớ vào coi lại giá thấy có 498k ua sao don hang co 498k ma shiper thu 598 k vay e nho me e lay dumhn moi nho vao coi lai gia thay co 498k
train_009069,hàng chuẩn lại đc tặng đồlike,0,hang chuan lai dc tang dolike,hàng chuẩn lại đc tặng đồlike hang chuan lai dc tang dolike
train_009676,thời gian giao hàng quá lâu đúng 1 tuần mới nhận dc hàng,1,thòi gian giao hàng quá lau dúng 1 tuàn mói nhạn dc hàng,thời gian giao hàng quá lâu đúng 1 tuần mới nhận dc hàng thòi gian giao hàng quá lau dúng 1 tuàn mói nhạn dc hàng
train_012215,giày đi rất êm chân lên dáng xinh cực kỳ chất liệu tốt cao nhưng đi chắc chắn và dễ chịu chứ không bị dốc chân chút nào shop giao hàng mhanh và gói hàng cẩn thận lắm nhé chúc shop luôn đông khách nhé 💐,0,giay di rat em chan len dang xinh cuc ky chat lieu tot cao nhung di chac chan va de chiu chu khong bi doc chan chut nao shop giao hang mhanh va goi hang can than lam nhe chuc shop luon dong khach nhe 💐,giày đi rất êm chân lên dáng xinh cực kỳ chất liệu tốt cao nhưng đi chắc chắn và dễ chịu chứ không bị dốc chân chút nào shop giao hàng mhanh và gói hàng cẩn thận lắm nhé chúc shop luôn đông khách nhé 💐 giay di rat em chan len dang xinh cuc ky chat lieu tot cao nhung di chac chan va de chiu chu khong bi doc chan chut nao shop giao hang mhanh va goi hang can than lam nhe chuc shop luon dong khach nhe 💐
train_011075,đổi mẫu k ý kiến j đã nt check kỹ như thế mà mỗi lần nhắn đợi đến cả ngày mới đc rep lại đặt quả dâu thì giao con cú,1,doi mau k y kien j da nt check ky nhu the ma moi lan nhan doi den ca ngay moi dc rep lai dat qua dau thi giao con cu,đổi mẫu k ý kiến j đã nt check kỹ như thế mà mỗi lần nhắn đợi đến cả ngày mới đc rep lại đặt quả dâu thì giao con cú doi mau k y kien j da nt check ky nhu the ma moi lan nhan doi den ca ngay moi dc rep lai dat qua dau thi giao con cu
train_005357,móc không được chắc chắn trông rất cũ kỹ và còn hôi mùi nhựa rất tệ,1,moc khong duoc chac chan trong rat cu ky va con hoi mui nhua rat te,móc không được chắc chắn trông rất cũ kỹ và còn hôi mùi nhựa rất tệ moc khong duoc chac chan trong rat cu ky va con hoi mui nhua rat te
train_011361,shop giao hàng thieu k bù tien giả,1,shop giao hang thieu k bu tien gia,shop giao hàng thieu k bù tien giả shop giao hang thieu k bu tien gia
train_013499,chưa dùg nên chưa đánh giá đc cho shop 5* trc ^^,0,chua dug nen chua danh gia dc cho shop 5* trc ^^,chưa dùg nên chưa đánh giá đc cho shop 5* trc ^^ chua dug nen chua danh gia dc cho shop 5* trc ^^
train_005436,sản phẩm k giống hình ảnh quảng cáo,1,san pham k giong hinh anh quang cao,sản phẩm k giống hình ảnh quảng cáo san pham k giong hinh anh quang cao
train_004296,nói thật là mình thấy iphone vẫn trên cơ,1,noi that la minh thay iphone van tren co,nói thật là mình thấy iphone vẫn trên cơ noi that la minh thay iphone van tren co
train_009090,chất lượng sản phẩm rất kém hang nhap khau china khong phai hang xuat khau giam gia lua dao lam re lau con khong lau dc,1,chat luong san pham rat kem hang nhap khau china khong phai hang xuat khau giam gia lua dao lam re lau con khong lau dc,chất lượng sản phẩm rất kém hang nhap khau china khong phai hang xuat khau giam gia lua dao lam re lau con khong lau dc chat luong san pham rat kem hang nhap khau china khong phai hang xuat khau giam gia lua dao lam re lau con khong lau dc
train_010070,chất lứng chất lượng sản phẩm rất kém,1,chat lung chat luong san pham rat kem,chất lứng chất lượng sản phẩm rất kém chat lung chat luong san pham rat kem
train_009048,sách rất hay giao hàng rất nhanh đọc đến trang thứ 26 đã bong gáy sơ suất quá nặng nề cho một tác phẩm tâm linh xuất sắc,1,sach rat hay giao hang rat nhanh doc den trang thu 26 da bong gay so suat qua nang ne cho mot tac pham tam linh xuat sac,sách rất hay giao hàng rất nhanh đọc đến trang thứ 26 đã bong gáy sơ suất quá nặng nề cho một tác phẩm tâm linh xuất sắc sach rat hay giao hang rat nhanh doc den trang thu 26 da bong gay so suat qua nang ne cho mot tac pham tam linh xuat sac
train_003490,trai nho hon mih tuog tuon,0,trai nho hon mih tuog tuon,trai nho hon mih tuog tuon trai nho hon mih tuog tuon
train_012628,đã mua khô gà ở rất nhiều shop nhưng chỉ thấy shop bạn là ngon nhất se ủng hộ shop tiếp chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh,0,da mua kho ga o rat nhieu shop nhung chi thay shop ban la ngon nhat se ung ho shop tiep chat luong san pham tuyet voi dong goi san pham rat dep va chac chan shop phuc vu rat tot rat dang tien thoi gian giao hang rat nhanh thoi gian giao hang rat nhanh thoi gian giao hang rat nhanh,đã mua khô gà ở rất nhiều shop nhưng chỉ thấy shop bạn là ngon nhất se ủng hộ shop tiếp chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh da mua kho ga o rat nhieu shop nhung chi thay shop ban la ngon nhat se ung ho shop tiep chat luong san pham tuyet voi dong goi san pham rat dep va chac chan shop phuc vu rat tot rat dang tien thoi gian giao hang rat nhanh thoi gian giao hang rat nhanh thoi gian giao hang rat nhanh
train_007378,không có lịch quá dầy,1,khong co lich qua day,không có lịch quá dầy khong co lich qua day
train_014389,giao hàng lỗi không sạc được chập trờn điện thoại báo dòng điện áp quá cao mém cháy điện thoại liên hệ đợi lâu mới trả lời giải quyết không ra gì mình dùng thiết bị đo kiểm tra sạc mà nói thiết bị đo của mình làm lỗi đề nghị các bạn đừng mua giao hàng hư không trả lời không trả tiền đâu,1,giao hang loi khong sac duoc chap tron dien thoai bao dong dien ap qua cao mem chay dien thoai lien he doi lau moi tra loi giai quyet khong ra gi minh dung thiet bi do kiem tra sac ma noi thiet bi do cua minh lam loi de nghi cac ban dung mua giao hang hu khong tra loi khong tra tien dau,giao hàng lỗi không sạc được chập trờn điện thoại báo dòng điện áp quá cao mém cháy điện thoại liên hệ đợi lâu mới trả lời giải quyết không ra gì mình dùng thiết bị đo kiểm tra sạc mà nói thiết bị đo của mình làm lỗi đề nghị các bạn đừng mua giao hàng hư không trả lời không trả tiền đâu giao hang loi khong sac duoc chap tron dien thoai bao dong dien ap qua cao mem chay dien thoai lien he doi lau moi tra loi giai quyet khong ra gi minh dung thiet bi do kiem tra sac ma noi thiet bi do cua minh lam loi de nghi cac ban dung mua giao hang hu khong tra loi khong tra tien dau
